[2024-02-22 10:54:36,099: INFO : main : Welcome to our work custom log]
[2024-02-22 10:54:55,521: INFO: main: Welcome to our work custom log]
[2024-02-22 11:05:17,825: INFO: main: Welcome to our work custom log]
[2024-02-22 11:06:18,386: INFO: main: Welcome to our work custom log]
[2024-02-22 11:06:30,852: INFO: main: Welcome to our work custom log]
[2024-02-22 11:07:27,904: INFO: main: Welcome to our work custom log]
[2024-02-22 11:08:09,197: INFO: main: Welcome to our work custom log]
[2024-02-22 11:08:09,197: INFO: common: yaml file: dvc.yaml loaded successfully]
[2024-02-22 13:09:51,028: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 13:10:00,344: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 13:23:29,640: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 13:23:29,641: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 13:24:36,933: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 13:24:36,935: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 13:25:56,614: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 13:25:56,616: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 13:27:13,345: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 13:27:13,348: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 13:27:15,577: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 13:27:15,578: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 13:27:41,277: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 13:28:14,057: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 13:28:14,058: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 13:28:14,060: INFO: common: created directory at: artifacts]
[2024-02-22 13:28:17,769: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 13:28:17,771: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 13:28:17,773: INFO: common: created directory at: artifacts]
[2024-02-22 13:28:17,773: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-22 13:29:02,229: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 13:29:02,231: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 13:29:02,232: INFO: common: created directory at: artifacts]
[2024-02-22 13:29:02,233: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-22 13:30:07,063: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 13:30:07,065: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 13:30:07,066: INFO: common: created directory at: artifacts]
[2024-02-22 13:30:07,067: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-22 13:30:07,068: INFO: 2129033717: Downloading data from https://drive.google.com/uc?/export=download&id=1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3 into file artifacts/data_ingestion/data.zip]
[2024-02-22 13:30:29,084: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 13:30:29,085: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 13:30:29,086: INFO: common: created directory at: artifacts]
[2024-02-22 13:30:29,087: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-22 13:30:29,087: INFO: 2129033717: Downloading data from https://drive.google.com/uc?/export=download&id=1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3 into file artifacts/data_ingestion/data.zip]
[2024-02-22 13:31:36,898: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 13:31:36,899: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 13:31:36,901: INFO: common: created directory at: artifacts]
[2024-02-22 13:31:36,901: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-22 13:31:36,902: INFO: 2129033717: Downloading data from https://drive.google.com/uc?/export=download&id=1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3 into file artifacts/data_ingestion/data.zip]
[2024-02-22 13:33:39,965: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 13:33:39,967: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 13:33:39,968: INFO: common: created directory at: artifacts]
[2024-02-22 13:33:39,969: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-22 13:33:39,970: INFO: 1775004456: Downloading data from https://drive.google.com/uc?/export=download&id=1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3 into file artifacts/data_ingestion/data.zip]
[2024-02-22 13:33:40,310: INFO: 1775004456: Downloaded data from https://drive.google.com/uc?/export=download&id=1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3 into artifacts/data_ingestion/data.zip]
[2024-02-22 13:34:43,114: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 13:34:43,115: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 13:34:43,116: INFO: common: created directory at: artifacts]
[2024-02-22 13:34:43,117: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-22 13:34:43,118: INFO: 1775004456: Downloading data from https://drive.google.com/uc?/export=download&id=1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3 into file artifacts/data_ingestion/data.zip]
[2024-02-22 13:34:43,467: INFO: 1775004456: Downloaded data from https://drive.google.com/uc?/export=download&id=1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3 into artifacts/data_ingestion/data.zip]
[2024-02-22 13:35:38,663: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 13:35:38,666: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 13:35:38,667: INFO: common: created directory at: artifacts]
[2024-02-22 13:35:38,668: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-22 13:35:38,669: INFO: 1324461702: Downloading data from https://drive.google.com/uc?/export=download&id=1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3 into file artifacts/data_ingestion/data.zip]
[2024-02-22 13:35:38,670: INFO: 1324461702: Download url https://drive.google.com/uc?/export=download&id=export=download&id=1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3]
[2024-02-22 13:35:39,050: INFO: 1324461702: Downloaded data from https://drive.google.com/uc?/export=download&id=1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3 into artifacts/data_ingestion/data.zip]
[2024-02-22 13:37:11,691: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 13:37:11,693: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 13:37:11,694: INFO: common: created directory at: artifacts]
[2024-02-22 13:37:11,695: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-22 13:37:11,696: INFO: 1324461702: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-22 13:37:11,696: INFO: 1324461702: Download url https://drive.google.com/uc?/export=download&id=view?usp=sharing]
[2024-02-22 13:38:02,142: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 13:38:02,144: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 13:38:02,145: INFO: common: created directory at: artifacts]
[2024-02-22 13:38:02,145: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-22 13:38:02,146: INFO: 4029470648: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-22 13:38:02,147: INFO: 4029470648: file id view?usp=sharing]
[2024-02-22 13:38:02,147: INFO: 4029470648: Download url https://drive.google.com/uc?/export=download&id=view?usp=sharing]
[2024-02-22 13:38:10,555: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 13:38:10,556: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 13:38:10,557: INFO: common: created directory at: artifacts]
[2024-02-22 13:38:10,558: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-22 13:38:10,559: INFO: 4161349440: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-22 13:38:10,559: INFO: 4161349440: file id 1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3]
[2024-02-22 13:38:10,560: INFO: 4161349440: Download url https://drive.google.com/uc?/export=download&id=1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3]
[2024-02-22 13:38:17,913: INFO: 4161349440: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into artifacts/data_ingestion/data.zip]
[2024-02-22 14:42:41,269: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-02-22 14:42:41,269: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 14:42:41,270: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 14:42:41,270: INFO: common: created directory at: artifacts]
[2024-02-22 14:42:41,270: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-22 14:42:41,270: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-22 14:42:41,271: INFO: data_ingestion: Download url https://drive.google.com/uc?/export=download&id=1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3]
[2024-02-22 14:42:48,648: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into artifacts/data_ingestion/data.zip]
[2024-02-22 14:42:49,006: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<]
[2024-02-22 15:19:48,230: WARNING: deprecation: From /tmp/ipykernel_49001/337460670.py:1: is_gpu_available (from tensorflow.python.framework.test_util) is deprecated and will be removed in a future version.
Instructions for updating:
Use `tf.config.list_physical_devices('GPU')` instead.]
[2024-02-22 16:38:33,316: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 16:38:33,318: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 16:38:33,319: INFO: common: created directory at: artifacts]
[2024-02-22 16:38:33,320: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-02-22 16:39:30,121: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 16:39:30,123: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 16:39:30,124: INFO: common: created directory at: artifacts]
[2024-02-22 16:39:30,125: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-02-22 16:39:37,422: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-02-22 16:46:23,159: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-02-22 16:46:23,160: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 16:46:23,161: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 16:46:23,161: INFO: common: created directory at: artifacts]
[2024-02-22 16:46:23,161: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-22 16:46:23,161: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-22 16:46:23,161: INFO: data_ingestion: Download url https://drive.google.com/uc?/export=download&id=1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3]
[2024-02-22 16:46:29,838: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into artifacts/data_ingestion/data.zip]
[2024-02-22 16:46:30,225: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<]
[2024-02-22 16:46:30,225: INFO: main: >>>>>> stage Prepare Base Model stage started <<<<<<]
[2024-02-22 16:46:30,226: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 16:46:30,226: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 16:46:30,227: INFO: common: created directory at: artifacts]
[2024-02-22 16:46:30,227: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-02-22 16:46:30,894: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-02-22 16:46:31,039: INFO: main: >>>>>> stage Prepare Base Model stage completed <<<<<<]
[2024-02-22 17:11:41,153: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 17:11:41,155: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 17:11:41,156: INFO: common: created directory at: artifacts]
[2024-02-22 17:11:46,654: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 17:11:46,657: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 17:11:46,657: INFO: common: created directory at: artifacts]
[2024-02-22 17:11:46,659: INFO: common: created directory at: artifacts/training]
[2024-02-22 17:13:04,434: INFO: common: yaml file: config/config.yaml loaded successfully]
